Table 1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Place,Population ,Land area,,,,,,,,,,,
land area = square miles,,,,,,,,1,Abilene,90571,78.4,1155.24234693878,,,,,,,,,,
,,,,,,,,2,Akron,542775,203.5,2667.19901719902,,,,,,,,,,
1970 Census - Population and Land Area of Urbanized Areas for the U.S.,,,,,,,,3,Albany,76512,32.9,2325.59270516717,,,,,,,,,,
pc-s1-108ch1.pdf (census.gov),,,,,,,,4,Albany,486525,150.5,3232.72425249169,,,,,,,,,,
,,,,,,,,5,Albuquerque,297451,114.4,2600.09615384615,,,,,,,,,,
https://www2.census.gov/library/publications/decennial/1970/pc-s1-supplementary-reports/pc-s1-108ch1.pdf,,,,,,,,6,Alexandria,77609,37.1,2091.88679245283,,,,,,,,,,
,,,,,,,,7,Allentown,363517,98.5,3690.52791878173,,,,,,,,,,
,,,,,,,,8,Alton,95998,41.5,2313.20481927711,,,,,,,,,,
,,,,,,,,9,Altoona,81795,19.6,4173.21428571429,,,,,,,,,,
,,,,,,,,10,Amarillo,127010,60.7,2092.42174629325,,,,,,,,,,
,,,,,,,,11,Anchorage,110782,54.5,2032.69724770642,,,,,,,,,,
,,,,,,,,12,Anderson,80704,43.4,1859.53917050691,,,,,,,,,,
,,,,,,,,13,Ann Arbor,178605,45,3969,,,,,,,,,,
,,,,,,,,14,Anniston,58851,37.4,1573.55614973262,,,,,,,,,,
,,,,,,,,15,Antioch,59585,22.3,2671.9730941704,,,,,,,,,,
,,,,,,,,16,Appleton,129532,37.1,3491.42857142857,,,,,,,,,,
,,,,,,,,17,Asheville,72451,38.2,1896.62303664921,,,,,,,,,,
,,,,,,,,18,Atlanta,1172778,435,2696.04137931034,,,,,,,,,,
,,,,,,,,19,Augusta,148953,58,2568.15517241379,,,,,,,,,,
,,,,,,,,20,Aurora,232917,76.8,3032.7734375,,,,,,,,,,
,,,,,,,,21,Austin,264499,85.8,3082.73892773893,,,,,,,,,,
,,,,,,,,22,Bakersfield,176155,57.2,3079.63286713287,,,,,,,,,,
,,,,,,,,23,Baltimore,1579582,309.6,5102.00904392765,,,,,,,,,,
,,,,,,,,24,Baton Rouge,249463,84.6,2948.73522458629,,,,,,,,,,
,,,,,,,,25,Battle Creek,77922,31.1,2505.53054662379,,,,,,,,,,
,,,,,,,,26,Bay City,78097,26.2,2980.80152671756,,,,,,,,,,
,,,,,,,,27,Beaumont,116350,74.5,1561.74496644295,,,,,,,,,,
,,,,,,,,28,Billings,71197,26.9,2646.72862453532,,,,,,,,,,
,,,,,,,,29,Biloxi,127771,63.7,2005.82417582418,,,,,,,,,,
,,,,,,,,30,Binghamton,167224,52.3,3197.39961759082,,,,,,,,,,
,,,,,,,,31,Birmingham,558099,224.6,2484.85752448798,,,,,,,,,,
,,,,,,,,32,Bloomington,69392,19.9,3487.0351758794,,,,,,,,,,
,,,,,,,,33,Boise City,85187,29.4,2897.51700680272,,,,,,,,,,
,,,,,,,,34,Boston,2652575,664.4,3992.43678506924,,,,,,,,,,
,,,,,,,,35,Boulder,68634,14.1,4867.65957446809,,,,,,,,,,
,,,,,,,,36,Bridgeport,413366,148.8,2777.99731182796,,,,,,,,,,
,,,,,,,,37,Bristol,71732,37.3,1923.10991957105,,,,,,,,,,
,,,,,,,,38,Brockton,148844,52.5,2835.12380952381,,,,,,,,,,
,,,,,,,,39,Brownsville,52627,15.2,3462.30263157895,,,,,,,,,,
,,,,,,,,40,Bryan,51395,33.4,1538.77245508982,,,,,,,,,,
,,,,,,,,41,Buffalo,1086594,213.7,5084.6700982686,,,,,,,,,,
,,,,,,,,42,Burlington,59891,30.7,1950.84690553746,,,,,,,,,,
,,,,,,,,43,Canton,244177,77.2,3162.91450777202,,,,,,,,,,
,,,,,,,,44,Cedar Rapids,132008,62,2129.16129032258,,,,,,,,,,
,,,,,,,,45,Champaign,100417,18.3,5487.26775956284,,,,,,,,,,
,,,,,,,,46,Charleston,228399,99.2,2302.40927419355,,,,,,,,,,
,,,,,,,,47, Charleston,157662,61.8,2551.16504854369,,,,,,,,,,
,,,,,,,,48,Charlotte,279433,105.7,2643.64238410596,,,,,,,,,,
,,,,,,,,49,Chattanooga,223580,116.7,1915.85261353899,,,,,,,,,,
,,,,,,,,50,Chicago,6714578,1277.2,5257.26432821798,,,,,,,,,,
,,,,,,,,51,Cincinnati,1110514,335.1,3313.97791703969,,,,,,,,,,
,,,,,,,,52,Clarksville,58345,39.9,1462.28070175439,,,,,,,,,,
