"FIPS"	"NAME"	"Qualified Area Name"	"AREALAND"	"AREAWATR"	"Total Population"	"Area Total"	"Area Total: Area (Land)"	"Area Total: Area (Water)"	"% Area Total: Area (Land)"	"% Area Total: Area (Water)"
Geo_geoid_	NAME	qname	AREALAND	AREAWATR	V1T003001	V1T005001	V1T005002	V1T005003	X1T005002	X1T005003
"0101036"	"Albertville, AL Urban Area"	"Albertville, AL Urban Area, Alabama"	90243946	613266	38476	35.08016586303711	34.8433837890625	0.23678334057331085	99.33	0.67
"0101252"	"Alexander City, AL Urban Area"	"Alexander City, AL Urban Area, Alabama"	25354836	35945	8920	9.803435325622559	9.789557456970215	0.013878442347049713	99.86	0.14
"0102359"	"Andalusia, AL Urban Area"	"Andalusia, AL Urban Area, Alabama"	17775439	103830	6391	6.903224945068359	6.863135814666748	0.04008898884057999	99.42	0.58
"0102629"	"Anniston--Oxford, AL Urban Area"	"Anniston--Oxford, AL Urban Area, Alabama"	204340445	1108735	78302	79.32437896728516	78.89629364013672	0.42808499932289124	99.46	0.54
"0102791"	"Arab, AL Urban Area"	"Arab, AL Urban Area, Alabama"	22520970	279456	7849	8.80329418182373	8.695395469665527	0.10789857059717178	98.77	1.23
"0103655"	"Athens, AL Urban Area"	"Athens, AL Urban Area, Alabama"	52039316	299071	23204	20.207965850830078	20.092493057250977	0.1154719665646553	99.43	0.57
"0103925"	"Atmore, AL Urban Area"	"Atmore, AL Urban Area, Alabama"	13219601	52468	6390	5.124374866485596	5.104116916656494	0.020258009433746338	99.6	0.4
"0104033"	"Auburn, AL Urban Area"	"Auburn, AL Urban Area, Alabama"	158393499	1472748	100842	61.724708557128906	61.15607452392578	0.5686312317848206	99.08	0.92
"0105923"	"Bay Minette, AL Urban Area"	"Bay Minette, AL Urban Area, Alabama"	18014152	143683	7685	7.010779857635498	6.955303192138672	0.055476319044828415	99.21	0.79
"0107786"	"Birmingham, AL Urban Area"	"Birmingham, AL Urban Area, Alabama"	1319007575	9300252	774956	512.862548828125	509.2716979980469	3.5908474922180176	99.3	0.7
"0110081"	"Brewton, AL Urban Area"	"Brewton, AL Urban Area, Alabama"	16207531	52981	6371	6.278219223022461	6.257762908935547	0.02045607939362526	99.67	0.33
"0117047"	"Clanton, AL Urban Area"	"Clanton, AL Urban Area, Alabama"	23460292	141751	6423	9.112800598144531	9.058070182800293	0.0547303706407547	99.4	0.6
"0119099"	"Columbus, GA--AL Urban Area (part)"	"Columbus, GA--AL Urban Area (part), Alabama"	117542222	607379	62719	45.61781692504883	45.38330841064453	0.23451034724712372	99.49	0.51
"0121637"	"Cullman, AL Urban Area"	"Cullman, AL Urban Area, Alabama"	55661380	455574	21165	21.66687774658203	21.49098014831543	0.17589810490608215	99.19	0.81
"0122690"	"Decatur, AL Urban Area"	"Decatur, AL Urban Area, Alabama"	112586219	1051392	60458	43.875728607177734	43.469783782958984	0.40594473481178284	99.07	0.93
"0123365"	"Demopolis, AL Urban Area"	"Demopolis, AL Urban Area, Alabama"	11781694	82368	6227	4.580739974975586	4.548937797546387	0.0318024642765522	99.31	0.69
"0124472"	"Dothan, AL Urban Area"	"Dothan, AL Urban Area, Alabama"	142674706	387556	.	55.23664855957031	55.087013244628906	0.14963620901107788	99.73	0.27
"0127685"	"Enterprise, AL Urban Area"	"Enterprise, AL Urban Area, Alabama"	61504880	151495	31258	23.805660247802734	23.747167587280273	0.058492548763751984	99.75	0.25
"0128090"	"Eufaula, AL--GA Urban Area (part)"	"Eufaula, AL--GA Urban Area (part), Alabama"	16132419	28095	8596	6.239609718322754	6.228762149810791	0.010847540572285652	99.83	0.17
"0128766"	"Fairhope--Daphne, AL Urban Area"	"Fairhope--Daphne, AL Urban Area, Alabama"	152977898	674017	76807	59.325340270996094	59.065101623535156	0.2602394223213196	99.56	0.44
"0129953"	"Florence, AL Urban Area"	"Florence, AL Urban Area, Alabama"	141482263	367280	78925	54.76841354370117	54.62660598754883	0.14180760085582733	99.74	0.26
"0130171"	"Foley--Gulf Shores, AL Urban Area"	"Foley--Gulf Shores, AL Urban Area, Alabama"	127027183	1097944	40920	49.469390869140625	49.04547119140625	0.42391857504844666	99.14	0.86
"0130844"	"Fort Payne, AL Urban Area"	"Fort Payne, AL Urban Area, Alabama"	22392683	30508	8380	8.65764331817627	8.64586353302002	0.011779204942286015	99.86	0.14
"0130885"	"Fort Rucker--Daleville, AL Urban Area"	"Fort Rucker--Daleville, AL Urban Area, Alabama"	20113274	0	7157	7.7657790184021	7.7657790184021	0	100	0
"0132113"	"Gadsden, AL Urban Area"	"Gadsden, AL Urban Area, Alabama"	158530841	5255544	57975	63.238285064697266	61.2091064453125	2.029176950454712	96.79	3.21
"0135272"	"Greenville, AL Urban Area"	"Greenville, AL Urban Area, Alabama"	14521137	0	5823	5.606642723083496	5.606642723083496	0	100	0
"0137351"	"Hartselle, AL Urban Area"	"Hartselle, AL Urban Area, Alabama"	36021661	138029	15596	13.961334228515625	13.908041000366211	0.05329329892992973	99.62	0.38
"0140780"	"Huntsville, AL Urban Area"	"Huntsville, AL Urban Area, Alabama"	556245247	2626676	329066	215.78167724609375	214.7675018310547	1.0141652822494507	99.53	0.47
"0140813"	"Huntsville Southeast, AL Urban Area"	"Huntsville Southeast, AL Urban Area, Alabama"	27750195	98506	20165	10.75244426727295	10.714410781860352	0.0380333811044693	99.65	0.35
"0142616"	"Jasper, AL Urban Area"	"Jasper, AL Urban Area, Alabama"	43254699	84714	13274	16.733442306518555	16.700733184814453	0.03270826116204262	99.8	0.2
"0157925"	"Mobile, AL Urban Area"	"Mobile, AL Urban Area, Alabama"	571733437	10111122	321907	224.6514434814453	220.74752807617188	3.903926134109497	98.26	1.74
"0158411"	"Monroeville, AL Urban Area"	"Monroeville, AL Urban Area, Alabama"	12581347	0	4284	4.857685565948486	4.857685565948486	0	100	0
"0158492"	"Montevallo, AL Urban Area"	"Montevallo, AL Urban Area, Alabama"	13129334	64582	6438	5.0941996574401855	5.0692644119262695	0.024935251101851463	99.51	0.49
"0158600"	"Montgomery, AL Urban Area"	"Montgomery, AL Urban Area, Alabama"	375806552	2449268	254348	146.04541015625	145.0997314453125	0.9456676840782166	99.35	0.65
"0165485"	"Oneonta, AL Urban Area"	"Oneonta, AL Urban Area, Alabama"	11325973	1452	5624	4.3735432624816895	4.372982978820801	0.0005606203339993954	99.99	0.01
"0165620"	"Opp, AL Urban Area"	"Opp, AL Urban Area, Alabama"	13468175	186253	5325	5.272004127502441	5.20009183883667	0.07191269099712372	98.64	1.36
"0166690"	"Ozark, AL Urban Area"	"Ozark, AL Urban Area, Alabama"	43287085	178911	12218	16.782316207885742	16.713237762451172	0.06907792389392853	99.59	0.41
"0168374"	"Pell City, AL Urban Area"	"Pell City, AL Urban Area, Alabama"	36222147	322539	11500	14.109983444213867	13.98544979095459	0.12453301250934601	99.12	0.88
"0168482"	"Pensacola, FL--AL Urban Area (part)"	"Pensacola, FL--AL Urban Area (part), Alabama"	41807250	8351636	11813	19.366455078125	16.141868591308594	3.2245848178863525	83.35	16.65
"0175502"	"Robertsdale, AL Urban Area"	"Robertsdale, AL Urban Area, Alabama"	15229695	14294	7429	5.885737419128418	5.880218505859375	0.005518944468349218	99.91	0.09
"0176906"	"Russellville, AL Urban Area"	"Russellville, AL Urban Area, Alabama"	17999410	34674	9939	6.962998867034912	6.949611186981201	0.013387707062065601	99.81	0.19
"0180092"	"Scottsboro, AL Urban Area"	"Scottsboro, AL Urban Area, Alabama"	31970898	0	10791	12.344033241271973	12.344033241271973	0	100	0
