Table 1,,,,,,,,
,UA,UANAME,UA00,UA00NAME,UAPOP,UA00POP,UAAREALAND,UA00AREALAND
2010 Census Urban and Rural Classification and Urban Area Criteria,63217,"New York--Newark, NY--NJ--CT                                                                        ",63217,"New York--Newark, NY--NJ--CT",18351295,17799861,3450.20,3352.60
,51445,"Los Angeles--Long Beach--Anaheim, CA                                                                ",51445,"Los Angeles--Long Beach--Santa Ana, CA",12150996,11789487,1736.02,1667.93
https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural/2010-urban-rural.html,16264,"Chicago, IL--IN                                                                                     ",16264,"Chicago, IL--IN",8608208,8307904,2442.75,2122.81
,56602,"Miami, FL                                                                                           ",56602,"Miami, FL",5502379,4919036,1238.61,1116.09
,69076,"Philadelphia, PA--NJ--DE--MD                                                                        ",69076,"Philadelphia, PA--NJ--DE--MD",5441567,5149079,1981.37,1799.51
,22042,"Dallas--Fort Worth--Arlington, TX                                                                   ",22042,"Dallas--Fort Worth--Arlington, TX",5121892,4145659,1779.13,1407.04
,40429,"Houston, TX                                                                                         ",40429,"Houston, TX",4944332,3822509,1660.02,1295.27
,92242,"Washington, DC--VA--MD                                                                              ",92242,"Washington, DC--VA--MD",4586770,3933920,1321.73,1156.77
,3817,"Atlanta, GA                                                                                         ",3817,"Atlanta, GA",4515419,3499840,2645.35,1962.58
,9271,"Boston, MA--NH--RI                                                                                  ",9271,"Boston, MA--NH--RI",4181019,4032484,1873.46,1736.18
,23824,"Detroit, MI                                                                                         ",23824,"Detroit, MI",3734090,3903377,1337.16,1261.45
,69184,"Phoenix--Mesa, AZ                                                                                   ",69184,"Phoenix--Mesa, AZ",3629114,2907049,1146.57,799.01
,78904,"San Francisco--Oakland, CA                                                                          ",78904,"San Francisco--Oakland, CA",3281212,3228605,523.62,526.66
,80389,"Seattle, WA                                                                                         ",80389,"Seattle, WA",3059393,2712205,1010.31,953.63
,78661,"San Diego, CA                                                                                       ",78661,"San Diego, CA",2956746,2674436,732.41,782.29
,57628,"Minneapolis--St. Paul, MN--WI                                                                       ",57628,"Minneapolis--St. Paul, MN",2650890,2388593,1021.80,894.22
,86599,"Tampa--St. Petersburg, FL                                                                           ",86599,"Tampa--St. Petersburg, FL",2441770,2062339,956.99,802.27
,23527,"Denver--Aurora, CO                                                                                  ",23527,"Denver--Aurora, CO",2374203,1984889,667.95,498.83
,4843,"Baltimore, MD                                                                                       ",4843,"Baltimore, MD",2203663,2076354,717.04,682.73
,77770,"St. Louis, MO--IL                                                                                   ",77770,"St. Louis, MO--IL",2150706,2077662,923.64,828.95
,79093,"San Juan, PR                                                                                        ",79093,"San Juan, PR",2148346,2216616,866.69,891.67
,75340,"Riverside--San Bernardino, CA                                                                       ",75340,"Riverside--San Bernardino, CA",1932666,1506816,544.97,438.78
,47995,"Las Vegas--Henderson, NV                                                                            ",47962,"Las Vegas, NV",1886011,1314357,416.84,285.91
,71317,"Portland, OR--WA                                                                                    ",71317,"Portland, OR--WA",1849898,1583138,524.38,473.94
,17668,"Cleveland, OH                                                                                       ",17668,"Cleveland, OH",1780673,1786647,771.97,647.00
,78580,"San Antonio, TX                                                                                     ",78580,"San Antonio, TX",1758210,1327554,597.10,407.56
,69697,"Pittsburgh, PA                                                                                      ",69697,"Pittsburgh, PA",1733853,1753136,905.17,852.40
,77068,"Sacramento, CA                                                                                      ",77068,"Sacramento, CA",1723634,1393498,470.98,369.03
,79039,"San Jose, CA                                                                                        ",79039,"San Jose, CA",1664496,1538312,285.98,260.11
,16885,"Cincinnati, OH--KY--IN                                                                              ",16885,"Cincinnati, OH--KY--IN",1624827,1503262,787.74,671.77
,43912,"Kansas City, MO--KS                                                                                 ",43912,"Kansas City, MO--KS",1519417,1361744,677.84,584.41
,65863,"Orlando, FL                                                                                         ",65863,"Orlando, FL",1510516,1157431,597.69,453.19
,41212,"Indianapolis, IN                                                                                    ",41212,"Indianapolis, IN",1487483,1218919,705.74,552.92
,90892,"Virginia Beach, VA                                                                                  ",90892,"Virginia Beach, VA",1439666,1394439,515.45,526.80
,57466,"Milwaukee, WI                                                                                       ",57466,"Milwaukee, WI",1376476,1308913,545.62,487.05
,19234,"Columbus, OH                                                                                        ",19234,"Columbus, OH",1368035,1133193,510.46,397.71
,4384,"Austin, TX                                                                                          ",4384,"Austin, TX",1362416,901920,523.03,318.13
,15670,"Charlotte, NC--SC                                                                                   ",15670,"Charlotte, NC--SC",1249442,758927,741.49,434.91
,72505,"Providence, RI--MA                                                                                  ",72505,"Providence, RI--MA",1190956,1174548,545.05,503.63
,42346,"Jacksonville, FL                                                                                    ",42346,"Jacksonville, FL",1065219,882295,530.36,410.52
,56116,"Memphis, TN--MS--AR                                                                                 ",56116,"Memphis, TN--MS--AR",1060061,972091,497.31,399.82
,78499,"Salt Lake City--West Valley City, UT                                                                ",78499,"Salt Lake City, UT",1021243,887650,277.89,230.72
,51755,"Louisville/Jefferson County, KY--IN                                                                 ",51715,"Louisville, KY--IN",972546,863582,476.72,391.30
,61273,"Nashville-Davidson, TN                                                                              ",61273,"Nashville-Davidson, TN",969587,749935,563.47,430.77
,74746,"Richmond, VA                                                                                        ",74746,"Richmond, VA",953556,818836,492.17,436.76
,11350,"Buffalo, NY                                                                                         ",11350,"Buffalo, NY",935906,976703,379.93,366.69
,37243,"Hartford, CT                                                                                        ",37243,"Hartford, CT",924859,851535,516.25,469.34
,10162,"Bridgeport--Stamford, CT--NY                                                                        ",10162,"Bridgeport--Stamford, CT--NY",923311,888890,466.21,465.31
,62677,"New Orleans, LA                                                                                     ",62677,"New Orleans, LA",899703,1009283,251.39,197.84
,73261,"Raleigh, NC                                                                                         ",73261,"Raleigh, NC",884891,541527,518.14,319.61
,65080,"Oklahoma City, OK                                                                                   ",65080,"Oklahoma City, OK",861505,747003,410.63,322.35
,88732,"Tucson, AZ                                                                                          ",88732,"Tucson, AZ",843168,720425,353.46,291.36
,27253,"El Paso, TX--NM                                                                                     ",27253,"El Paso, TX--NM",803086,674801,250.57,219.12
,89770,"Urban Honolulu, HI                                                                                  ",39889,"Honolulu, HI",802459,718182,170.17,154.12
