Table 1
,,,,,,,,,,,,,,,
,,using OLS and controlling for heteroskedasticity,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1950,,-6.67 + 0.86lnpop,r-square = 0.87,N = 152,,,,Prefactor,Coefficient,R2,N,Exp(prefactor),
,,,,,,,,,1950,-6.67,0.86,0.87,152,0.00127,
,,1960,,-6.49 + 0.87lnpop,r-square = 0.88,N = 210,,,1960,-6.49,0.87,0.88,210,0.00152,
,,,,,,,,,1970,-6.14,0.86,0.89,274,0.00215,
,,1970,,-6.14 + 0.86lnpop,r-square = 0.89,N = 274,,,1980,-5.71,0.85,0.88,366,0.00331,
,,,,,,,,,1990,-5.65,0.86,0.89,396,0.00352,
,,1980,,-5.71 + 0.85lnpop,r-square = 0.88,N = 366,,,2000,-5.96,0.86,0.89,493,0.00258,
,,,,,,,,,2010,-6.04,0.87,0.89,493,0.00238,
,,1990,,-5.65 + 0.86lnpop,r-square = 0.89,N = 396,,,2020,?,?,?,?,?,
,,,,,,,,,,,,,,,
,,2000,,-5.96 + 0.86lnpop,r-square = 0.89,N = 493,,,,,,,,,
,,,,,,,,,,,,,,,
,,2010,,-6.04 + 0.87lnpop,r-square = 0.89,N = 493,,,,,,,,,
