Table 1,,,,,,
UACE,NAME,POP,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI
37,"Abbeville, LA","18,078","28,823,510",11.13,"340,389",0.13
64,"Abbeville, SC","4,940","12,815,034",4.95,"6,144",0.00
145,"Aberdeen, SD","27,982","35,989,073",13.90,"183,150",0.07
172,"Aberdeen, WA","26,603","28,416,189",10.97,"1,802,207",0.70
253,"Abilene, KS","6,605","9,426,821",3.64,"1,877",0.00
280,"Abilene, TX","118,138","160,509,868",61.97,"1,015,710",0.39
388,"Ada, OH","5,343","5,425,263",2.09,0.00,0.00
415,"Ada, OK","17,264","36,906,552",14.25,"32,242",0.01
442,"Adairsville, GA","5,799","13,860,065",5.35,0.00,0.00
469,"Adel, GA","7,034","15,827,696",6.11,"171,671",0.07
496,"Adel, IA","5,674","7,103,711",2.74,"16,231",0.01
550,"Adjuntas, PR","8,008","12,594,208",4.86,"1,242",0.00
577,"Adrian, MI","29,206","34,641,303",13.38,"384,850",0.15
604,"Agat--Apra Harbor, GU","8,712","10,357,136",4.00,0.00,0.00
631,"Aguadilla--Isabela--San Sebastián, PR","232,573","485,158,099",187.32,"371,255",0.14
658,"Ahoskie, NC","4,861","8,613,935",3.33,0.00,0.00
660,"Aibonito, PR","20,255","34,460,553",13.31,"63,660",0.02
766,"Akron, OH","541,879","778,645,785",300.64,"15,073,639",5.82
820,"Alamogordo, NM","30,801","35,564,058",13.73,"4,382",0.00
847,"Alamosa, CO","10,965","19,903,192",7.68,"38,995",0.02
901,"Albany, GA","85,960","172,252,814",66.51,"1,905,095",0.74
955,"Albany, OR","62,074","59,695,502",23.05,"191,140",0.07
970,"Albany--Schenectady, NY","593,142","702,671,342",271.30,"14,075,226",5.43
982,"Albemarle, NC","16,988","43,150,510",16.66,"47,629",0.02
1009,"Albert Lea, MN","17,992","27,963,336",10.80,"1,396,477",0.54
1036,"Albertville, AL","38,476","90,243,946",34.84,"613,266",0.24
1090,"Albion, MI","8,133","12,150,862",4.69,"136,862",0.05
1117,"Albion, NY","7,216","7,626,920",2.94,0.00,0.00
1171,"Albuquerque, NM","769,837","681,352,326",263.07,"6,964,855",2.69
1252,"Alexander City, AL","8,920","25,354,836",9.79,"35,945",0.01
1273,"Alexandria, IN","6,140","9,853,044",3.80,"11,855",0.00
1279,"Alexandria, LA","78,305","167,600,150",64.71,"1,851,472",0.71
1306,"Alexandria, MN","18,957","58,462,308",22.57,"18,928,970",7.31
1387,"Algona, IA","5,443","8,681,037",3.35,"16,085",0.01
1414,"Alice, TX","19,413","25,980,592",10.03,0.00,0.00
1441,"Allegan, MI","7,247","17,817,488",6.88,"2,275,950",0.88
1450,"Allendale, MI","25,094","27,311,451",10.55,"158,913",0.06
1495,"Allentown--Bethlehem, PA--NJ","621,703","677,400,838",261.55,"9,302,819",3.59
1522,"Alliance, NE","8,119","12,704,963",4.91,"31,691",0.01
1549,"Alliance, OH","30,944","44,687,294",17.25,"230,974",0.09
