Table 1,,,,,,,,,,,,,,
,,,Place,Population ,Land area,,,,,,,,,
,,1,Abilene,99763,81,,,,,,,,,
,https://archive.org/details/1980censusofpopu80114unse/page/12/mode/2up,2,Akron,515720,216,,,,,,,,,
,,3,Albany,88716,64,,,,,,,,,
,,4,Albany,490716,198,,,,,,,,,
,,5,Albuquerque,418015,171,,,,,,,,,
,,6,Alexandria,92742,58,,,,,,,,,
,,7,Allentown,381734,127,,,,,,,,,
,,8,Alton,88994,49,,,,,,,,,
,,9,Altoona,78802,27,,,,,,,,,
,,10,Amarillo,149230,80,,,,,,,,,
,,11,Anchorage,170247,140,,,,,,,,,
,,12,Anderson,51014,34,,,,,,,,,
,,13,Annapolis,64447,32,,,,,,,,,
,,14,Ann Arbor,208782,66,,,,,,,,,
,,15,Anniston,75614,69,,,,,,,,,
,,16,Antioch,86435,26,,,,,,,,,
,,17,Appleton,142151,49,,,,,,,,,
,,18,Asheville,102400,83,,,,,,,,,
,,19,Athens,62896,41,,,,,,,,,
,,20,Atlanta,1613357,905,,,,,,,,,
,,21,Atlantic City,146034,78,,,,,,,,,
,,22,Auburn,51823,65,,,,,,,,,
,,23,Augusta,251250,156,,,,,,,,,
,,24,Aurora,158911,69,,,,,,,,,
,,25,Austin,379560,141,,,,,,,,,
,,26,Bakersfield,222236,68,,,,,,,,,
,,27,Baltimore,1755477,523,,,,,,,,,
,,28,Bangor,60003,71,,,,,,,,,
,,29,Baton Rouge,350657,167,,,,,,,,,
,,30,Battle Creek,77789,47,,,,,,,,,
,,31,Bay City,77678,35,,,,,,,,,
,,32,Beaumont,123729,81,,,,,,,,,
,,33,Bellingham,51025,26,,,,,,,,,
,,34,Beloit,50834,25,,,,,,,,,
,,35,Benton Harbor,60639,31,,,,,,,,,
,,36,Billings,84328,37,,,,,,,,,
,,37,Biloxi,179280,125,,,,,,,,,
,,38,Binghamton,161312,65,,,,,,,,,
,,39,Birmingham,606085,341,,,,,,,,,
,,40,Bismarck,61105,30,,,,,,,,,
,,41,Bloomington,63513,20,,,,,,,,,
,,42,Bloomington,82397,24,,,,,,,,,
,,43,Boise City,134848,62,,,,,,,,,
,,44,Boston,2678762,857,,,,,,,,,
,,45,Boulder,81239,23,,,,,,,,,
,,46,Bremerton,64536,35,,,,,,,,,
,,47,Bridgeport,410998,165,,,,,,,,,
,,48,Bristol,83601,48,,,,,,,,,
,,49,Bristol,53537,52,,,,,,,,,
,,50,Brockton,177784,64,,,,,,,,,
,,51,Brownsville,91611,31,,,,,,,,,
,,52,Bryan,83036,48,,,,,,,,,
,,53,Buffalo,1002285,266,,,,,,,,,
,,54,Burlington,66580,43,,,,,,,,,
,,55,Burlington,76528,48,,,,,,,,,
,,56,Canton,244888,93,,,,,,,,,
,,57,Casper,59287,22,,,,,,,,,
,,58,Cedar Rapids,135798,65,,,,,,,,,
,,59,Champaign,109278,28,,,,,,,,,
,,60,Charleston,328572,210,,,,,,,,,
,,61, Charleston,153618,66,,,,,,,,,
,,62,Charlotte,350715,190,,,,,,,,,
,,63,Charlottesville,59422,20,,,,,,,,,
,,64,Chattanooga,301515,248,,,,,,,,,
,,65,Cheyenne,58429,27,,,,,,,,,
,,66,Chicago,6779799,1498,,,,,,,,,
,,67,Chico,51914,25,,,,,,,,,
,,68,Cincinnati,1123412,420,,,,,,,,,
,,69,Clarksville,77535,56,,,,,,,,,
,,70,Cleveland,1752424,629,,,,,,,,,
,,71,Colorado Springs,276872,142,,,,,,,,,
,,72,Columbia,65380,44,,,,,,,,,
,,73,Columbia,311561,172,,,,,,,,,
,,74,"Columbus, GA",214591,122,,,,,,,,,
,,76,"Columbus, OH",833648,305,,,,,,,,,
