Table 1,,,,,
,,,Place,Population ,Land area
,,1,"Abilene, TX","107,836",108.4
http://www.demographia.com/db-ua90list.htm,,2,"Akron, OH","527,863",257.1
,,3,"Albany--Schenectady--Troy, NY","509,106",208.7
https://books.google.com/books?id=f-MWAAAAYAAJ&pg=PA5&lpg=PA5&dq=1990+Urbanized+areas+of+the+United+States+and+Puerto+Rico&source=bl&ots=8tODlw7Nzb&sig=ACfU3U2v-xY0qSm_r8gpfjL8pu13ZXN43A&hl=en&sa=X&ved=2ahUKEwiCo4at78X1AhUeD0QIHXnaDP0Q6AF6BAgrEAM#v=onepage&q=1990%20Urbanized%20areas%20of%20the%20United%20States%20and%20Puerto%20Rico&f=false,,4,"Albany, GA","87,223",71.4
,,5,"Albuquerque, NM","497,120",225.8
,,6,"Alexandria, LA","86,001",64.2
,,7,"Allentown--Bethlehem--Easton, PA--NJ","410,436",142.1
,,8,"Alton, IL","86,236",60.4
,,9,"Altoona, PA","76,551",29.6
,,10,"Amarillo, TX","157,934",88.2
,,11,"Anchorage, AK","221,883",161.3
,,12,"Anderson, IN","74,037",50
,,13,"Anderson, SC","52,492",41.1
,,14,"Ann Arbor, MI","222,061",76.2
,,15,"Annapolis, MD","78,590",40.4
,,16,"Anniston, AL","68,150",71.1
,,17,"Antioch--Pittsburg, CA","153,768",61.5
,,18,"Appleton--Neenah, WI","160,918",57.6
,,19,"Asheville, NC","110,429",94.6
,,20,"Athens, GA","73,282",43.7
,,21,"Atlanta, GA","2,157,806","1,136.70"
,,22,"Atlantic City, NJ","169,993",88.7
,,23,"Auburn--Opelika, AL","56,510",65.5
,,24,"Augusta, GA--SC","286,538",188.9
,,25,"Aurora, IL","192,043",83.1
,,26,"Austin, TX","562,008",273.2
,,27,"Bakersfield, CA","302,605",98.3
,,28,"Baltimore, MD","1,889,873",592.5
,,29,"Bangor, ME","61,402",70.9
,,30,"Baton Rouge, LA","365,943",185.5
,,31,"Battle Creek, MI","77,921",53.8
,,32,"Bay City, MI","74,118",36.1
,,33,"Beaumont, TX","122,841",90.8
,,34,"Bellingham, WA","59,317",30
,,35,"Beloit, WI--IL","56,076",34.6
,,36,"Benton Harbor, MI","57,744",32.8
,,37,"Billings, MT","88,181",45.2
,,38,"Biloxi--Gulfport, MS","179,643",128.9
,,39,"Binghamton, NY","158,405",65.4
,,40,"Birmingham, AL","622,074",398.8
,,41,"Bismarck, ND","66,476",36.5
,,42,"Bloomington--Normal, IL","94,186",30.8
,,43,"Bloomington, IN","71,440",21.1
,,44,"Boise City, ID","167,941",71.5
