year,city_token,name,population,area_sqmi,area_ha,m2_per_person
1950,New York,New York,12296117.0,1253.4,324629.10974951400,264.0094509100020
1960,New York,New York,14114927.0,1891.5,489896.2510700540,347.07671606807100
1970,New York,New York,16206841.0,2425.1,628098.0166375830,387.5511684464500
1980,New York,New York,15590274.0,2808.0,727268.6613823490,466.4886976215740
1990,New York,"New York, NY--Northeastern New Jersey",16044012.0,2966.4,768294.0730500710,478.8665534842980
2000,New York,"New York--Newark, NY--NJ--CT",17799861.0,3352.6,868319.4138712470,487.8237048431150
2010,New York,"New York--Newark, NY--NJ--CT                                                                        ",18351295.0,3450.2,893597.6978281270,486.93985782917600
2020,New York,"New York--Jersey City--Newark, NY--NJ",19426449.0,3248.12,841259.2180944570,433.0483754876960
1950,Los Angeles,Los Angeles,3996946.0,871.3,225665.6640535760,564.5952285909680
1960,Los Angeles,Los Angeles,6488791.0,1370.0,354828.371116032,546.8327938379150
1970,Los Angeles,Los Angeles,8351266.0,1571.9,407120.2310637160,487.49522654854500
1980,Los Angeles,Los Angeles,9479436.0,1827.0,473190.82775838700,499.17614060413200
1990,Los Angeles,"Los Angeles, CA",11402946.0,1965.7,509113.96284874800,446.47581673082300
2000,Los Angeles,"Los Angeles--Long Beach--Santa Ana, CA",11789487.0,1667.93,431991.88688727200,366.42127591071000
2010,Los Angeles,"Los Angeles--Long Beach--Anaheim, CA                                                                ",12150996.0,1736.02,449627.1159305500,370.0331363211300
2020,Los Angeles,"Los Angeles--Long Beach--Anaheim, CA",12237376.0,1636.83,423937.0238641280,346.4280445939780
1950,Chicago,Chicago,4920816.0,707.6,183267.5586873750,372.4332685623190
1960,Chicago,Chicago,5959213.0,959.8,248587.0588300490,417.14746365006500
1970,Chicago,Chicago,6714578.0,1277.2,330793.28145211400,492.64939874421600
1980,Chicago,Chicago,6779799.0,1498.0,387980.21892833300,572.2591760144110
1990,Chicago,"Chicago, IL--Northwestern Indiana",6792087.0,1584.5,410383.61608273900,604.2084208914570
2000,Chicago,"Chicago, IL--IN",8307904.0,2122.81,549805.2660502360,661.7857717785810
